,CompoundName,SMILES,caymanID,casID,Formula
0,Prostaglandin A1,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)O,10010,2365471-33-4,C20H32O4
1,Ac-YVAD-CMK,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)CCl)C(C)C,10014,178603-78-6,C24H33ClN4O8
2,Ac-YVAD-CHO,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@H](C=O)CC(=O)O)C(C)C,10016,143313-51-3,C23H32N4O8
3,DDMS,CS(=O)(=O)NC(=O)CCCCCCCCCC=C(Br)Br,10018,206052-03-1,C13H23Br2NO3S
4,Prostaglandin A1 ethyl ester,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)OCC,10020,93464-24-5,C22H36O4
5,F16,C[n+]1ccc(/C=C/c2c[nH]c3ccccc23)cc1.[I-],10022,36098-33-6,C16H15IN2
6,(S)-AL 8810,O=C(O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)C2Cc3ccccc3C2)[C@@H](F)C[C@@H]1O,10023,1224444-55-6,C24H31FO4
7,T0070907,O=C(Nc1ccncc1)c1cc([N+](=O)[O-])ccc1Cl,10026,313516-66-4,C12H8ClN3O3
8,MK 571,CN(C)C(=O)CCSC(SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,10029,115104-28-4,C26H27ClN2O3S2
9,POV-PC,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCC=O,10031,121324-31-0,C29H56NO9P
10,N-(.alpha.-Linolenoyl) Tyrosine,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,10032,259143-19-6,C27H39NO4
11,Lipoxin A4 methyl ester,CCCCC[C@H](O)/C=C/C=C\C=C\C=C\[C@@H](O)[C@@H](O)CCCC(=O)OC,10033,97643-35-1,C21H34O5
12,8-iso Prostaglandin A1,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@H]1CCCCCCC(=O)O,10035,211186-29-7,C20H32O4
13,TMS,COc1cc(/C=C/c2ccc(OC)cc2OC)cc(OC)c1,10038,24144-92-1,C18H20O4
14,FR122047 (hydrochloride),COc1ccc(-c2nc(C(=O)N3CCN(C)CC3)sc2-c2ccc(OC)cc2)cc1.Cl,10039,130717-51-0,C23H26ClN3O3S
15,15(R)-Iloprost,CC#CCC(C)[C@@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,10043,85026-51-3,C22H32O4
16,PGPC,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCC(=O)O,10044,89947-79-5,C29H56NO10P
17,UCM707,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCc1ccoc1,10045,390824-20-1,C25H37NO2
18,URB597,NC(=O)c1cccc(-c2cccc(OC(=O)NC3CCCCC3)c2)c1,10046,546141-08-6,C20H22N2O3
19,6(S)-Lipoxin A4,CCCCC[C@H](O)/C=C/C=C\C=C\C=C\[C@H](O)[C@@H](O)CCCC(=O)O,10049,94292-80-5,C20H32O5
20,"15-deoxy-.DELTA.12,14-Prostaglandin A1",CCCCC/C=C/C=C1/C=CC(=O)[C@@H]1CCCCCCC(=O)O,10065,573951-20-9,C20H30O3
21,15-epi Prostaglandin A1,CCCCC[C@@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)C(=O)O,10070,20897-92-1,C21H32O5
22,(+)-Abscisic Acid,CC1=CC(=O)CC(C)(C)[C@@]1(O)/C=C/C(C)=C\C(=O)O,10073,21293-29-8,C15H20O4
23,"16,16-dimethyl Prostaglandin A1",CCCCC(C)(C)[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)O,10080,41692-24-4,C22H36O4
24,SB-242084 (hydrochloride),Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2.Cl.Cl,10096,1049747-87-6,C21H21Cl3N4O2
25,EA4,CCN(CC)c1ccc(C2=C(Cl)C(=O)c3ncccc3C2=O)cc1,10111,389614-94-2,C19H17ClN2O2
26,AL 8810 isopropyl ester,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@H](O)C2Cc3ccccc3C2)[C@@H](F)C[C@@H]1O,10113,208114-93-6,C27H37FO4
27,N-Oleoyl Dopamine,CCCCCCCC/C=C\CCCCCCCC(=O)NCCc1ccc(O)c(O)c1,10115,105955-11-1,C26H43NO3
