,CompoundName,SMILES,Formula,ItemID
0,Prostaglandin A1,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)O,C20H32O4,10010.0
1,Ac-YVAD-CMK,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)CCl)C(C)C,C24H33ClN4O8,10014.0
2,Ac-YVAD-CHO,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@H](C=O)CC(=O)O)C(C)C,C23H32N4O8,10016.0
3,DDMS,CS(=O)(=O)NC(=O)CCCCCCCCCC=C(Br)Br,C13H23Br2NO3S,10018.0
4,Prostaglandin A1 ethyl ester,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)OCC,C22H36O4,10020.0
5,F16,C[n+]1ccc(/C=C/c2c[nH]c3ccccc23)cc1.[I-],C16H15IN2,10022.0
6,(S)-AL 8810,O=C(O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)C2Cc3ccccc3C2)[C@@H](F)C[C@@H]1O,C24H31FO4,10023.0
7,T0070907,O=C(Nc1ccncc1)c1cc([N+](=O)[O-])ccc1Cl,C12H8ClN3O3,10026.0
8,MK 571,CN(C)C(=O)CCSC(SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,C26H27ClN2O3S2,10029.0
9,POV-PC,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCC=O,C29H56NO9P,10031.0
10,N-(.alpha.-Linolenoyl) Tyrosine,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,C27H39NO4,10032.0
11,Lipoxin A4 methyl ester,CCCCC[C@H](O)/C=C/C=C\C=C\C=C\[C@@H](O)[C@@H](O)CCCC(=O)OC,C21H34O5,10033.0
12,8-iso Prostaglandin A1,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@H]1CCCCCCC(=O)O,C20H32O4,10035.0
13,TMS,COc1cc(/C=C/c2ccc(OC)cc2OC)cc(OC)c1,C18H20O4,10038.0
14,FR122047 (hydrochloride),COc1ccc(-c2nc(C(=O)N3CCN(C)CC3)sc2-c2ccc(OC)cc2)cc1.Cl,C23H26ClN3O3S,10039.0
15,15(R)-Iloprost,CC#CCC(C)[C@@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,C22H32O4,10043.0
16,PGPC,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCC(=O)O,C29H56NO10P,10044.0
17,UCM707,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCc1ccoc1,C25H37NO2,10045.0
18,URB597,NC(=O)c1cccc(-c2cccc(OC(=O)NC3CCCCC3)c2)c1,C20H22N2O3,10046.0
