,CompoundName,casID,selleckID,Formula,SMILES
0,Axitinib (AG 013736),319460-85-0,S1005,C22H18N4OS,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=N[NH]3)\C=C\C4=CC=CC=N4
1,Roxadustat (FG-4592),808118-40-3,S1007,C19H16N2O5,CC1=NC(=C(O)C2=C1C=C(OC3=CC=CC=C3)C=C2)C(=O)NCC(O)=O
2,Selumetinib (AZD6244),606143-52-6,S1008,C17H15BrClFN4O3,C[N]1C=NC2=C(F)C(=C(C=C12)C(=O)NOCCO)NC3=CC=C(Br)C=C3Cl
3,Nintedanib (BIBF 1120),656247-17-5,S1010,C31H33N5O4,COC(=O)C1=CC=C\2C(=C1)NC(=O)C2=C(NC3=CC=C(C=C3)N(C)C(=O)CN4CCN(C)CC4)/C5=CC=CC=C5
4,Afatinib (BIBW2992),850140-72-6,S1011,C24H25ClFN5O3,CN(C)C/C=C/C(=O)NC1=CC2=C(NC3=CC=C(F)C(=C3)Cl)N=CN=C2C=C1OC4CCOC4
5,Bortezomib (PS-341),179324-69-7,S1013,C19H25BN4O4,CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)B(O)O
6,Bosutinib (SKI-606),380843-75-4,S1014,C26H29Cl2N5O3,COC1=C(Cl)C=C(Cl)C(=C1)NC2=C(C=NC3=CC(=C(OC)C=C23)OCCCN4CCN(C)CC4)C#N
7,Dasatinib (BMS-354825),302962-49-8,S1021,C22H26ClN7O2S,CC1=NC(=CC(=N1)N2CCN(CCO)CC2)NC3=NC=C(S3)C(=O)NC4=C(Cl)C=CC=C4C
8,"Ridaforolimus (Deforolimus, MK-8669)",572924-54-0,S1022,C53H84NO14P,COC1CC(CCC1O[P](C)(C)=O)CC(C)C2CC(=O)C(C)\C=C(C)\C(O)C(OC)C(=O)C(C)CC(C)/C=C/C=C/C=C(C)/C(CC3CCC(C)C(O)(O3)C(=O)C(=O)N4CCCCC4C(=O)O2)OC
9,Gefitinib (ZD1839),184475-35-2,S1025,C22H24ClFN4O3,COC1=C(OCCCN2CCOCC2)C=C3C(=NC=NC3=C1)NC4=CC=C(F)C(=C4)Cl
