SMILES,binaryLabel,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,0,1.0,1.6785714285714286,2.357142857142857,16.507852598036752,9.851170413196144,2.3405164581263045,-2.324976283448095,2.3913651584674844,-2.3381059044692742,6.024698499182403,0.08952545146687947
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(O)=NO)cc23)c1,0,1.125,1.96875,2.75,16.514012282708844,10.136880701200356,2.119405702487656,-2.137898186628827,2.345340173077421,-2.016236521456119,5.926405870112565,0.28437375735574616
Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,1,1.3333333333333333,2.0,2.611111111111111,16.317075260352293,10.344488800561766,2.151222614105316,-2.090893600468421,2.0561020617632995,-2.3750538846659444,5.694126413259641,0.08201917059721321
COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,0,1.0833333333333333,1.75,2.3333333333333335,16.46586700704723,9.963006887104614,2.0770762626392347,-2.131231718315573,2.2802219535790127,-1.953919289287086,5.806871802608112,-0.13097606971949446
OCC1NCC(O)C(O)C1O,0,1.1818181818181819,1.8181818181818181,2.3636363636363638,16.36470991952742,9.967240332462065,2.3492758080062557,-2.3449192028043218,2.0896078141336103,-2.6032869767114883,4.909517859517408,-0.10051171632118028
OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,0,0.5,0.8333333333333334,1.1388888888888888,16.25922512084308,10.112766503212175,2.26654620438169,-2.3251148548561433,2.342773256266205,-2.359028068311414,5.948931815782803,0.27919060902361625
O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12,0,1.032258064516129,1.8064516129032258,2.5806451612903225,32.133474996837194,10.099509048196634,2.3053020005536906,-2.111724001054689,2.2703587180990006,-2.1686600833281555,7.124153569238472,-0.2741899158529311
I,1,1.0,1.0,1.0,126.904,126.904,-0.10746455724563216,-0.10746455724563216,0.8857,0.8857,14.02,14.02
OCCn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1,0,1.0714285714285714,2.0357142857142856,2.9642857142857144,16.25137599405833,10.121859525945403,2.1167940574348423,-2.043259426026707,2.1899264735341446,-2.0340648584343177,5.78618739980199,0.26918653697966954
C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(N)nc21,0,1.6,2.35,3.0,16.278838259218826,10.027682319280018,2.3741614986003206,-2.150894912558787,2.3920318822924553,-2.1711492608856493,5.704861667984442,0.10128661834483253
O=NN(CCCl)C(=O)NCCCl,0,1.4166666666666667,2.0833333333333335,2.5,35.496752364029504,10.64387978512755,2.10768868360042,-2.109144253477749,1.9085201923498663,-2.3768889149927324,6.17956983212569,0.20276933254174348
CN1c2c([nH]c(N)nc2=O)NCC1CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,0,1.2727272727272727,1.9696969696969697,2.606060606060606,16.37145970740798,10.103124877088309,2.2670512071674698,-2.352624971541209,2.2461301435813095,-2.4806681544065032,5.964996506380938,-0.14008784664365026
O=C(O)CNC(=O)c1ccccc1,0,1.2307692307692308,1.8461538461538463,2.3846153846153846,16.36668679331259,10.19201487561132,2.043374933144662,-2.0012459597104053,1.963749867285366,-2.2856050680174382,5.9514582950582025,-0.13532685297552785
O=C(NCCS(=O)(=O)c1ccc(C(F)(F)F)cn1)c1ccc(Cl)cc1,0,1.12,1.76,2.28,35.49569206145053,10.190294316779092,2.3094871062925657,-2.0830273269714628,2.2835488307061516,-2.2891871871434786,7.909151235443701,-0.13743886040277484
COc1cccc2c1c(=O)c(C(=O)N(C)c1ccc(C(F)(F)F)cc1)c(O)n2C,0,1.1379310344827587,1.7586206896551724,2.310344827586207,19.413184598826522,10.081799431919375,2.3070572378473653,-2.2000011577756675,2.3132881669956458,-2.3173851578380087,6.089220022827233,-0.13712314089055275
CCOC(=O)C(CCc1ccccc1)NC1CSC(c2cccs2)CN(CC(=O)O)C1=O,0,1.25,2.03125,2.6875,32.16692852574047,10.041711859648847,2.3554232441070395,-2.2641963171469066,2.352978107168589,-2.533674287270586,7.992998930802304,-0.14779216851165125
CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,0,1.0,1.7142857142857142,2.357142857142857,35.49569203324313,9.898581421150139,2.434939877310078,-2.39947555436404,2.3408137191115412,-2.547659737873731,6.309488295461715,-0.2313120499440474
COc1cc2ncc(-c3ccccc3)nc2cc1OC,1,0.85,1.5,2.15,16.507805373361112,10.14040150323531,2.086480073368143,-2.08755298252049,2.3087000120641035,-1.9359772282697982,5.805929368264373,0.3554434410650445
CCC(C)C(C(CC(=O)N1CCCC1C(OC)C(C)C(=O)NC(Cc1ccccc1)c1nccs1)OC)N(C)C(=O)C(NC(=O)C(C(C)C)N(C)C)C(C)C,1,0.9454545454545454,1.6181818181818182,2.1454545454545455,32.13348325688355,9.8896539635559,2.4309760479573472,-2.4079227283422475,2.3038918111413267,-2.594033216462953,7.0916374208640045,-0.14767017680786781
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,0,1.4285714285714286,2.238095238095238,2.9047619047619047,16.503831683184522,9.859747822308062,2.4039597790775256,-2.3511452743752015,2.4154028653881507,-2.368594023339215,5.87974160207154,-0.14826171792187023
O=c1[nH]c(=O)c2c[nH]nc2[nH]1,0,1.2727272727272727,2.090909090909091,2.909090909090909,16.155695291617512,10.436447351927495,1.9954346741525386,-1.821965052506827,1.9397575986535573,-2.2065514071332797,5.709846015580104,1.0443948606373128
NCCCCCC(=O)O,0,1.3333333333333333,2.0,2.4444444444444446,16.365120080921773,10.177821995662367,1.935047054277954,-1.925577580304958,1.9663123614905083,-1.9903292608168144,5.6601390755345244,-0.13664834326282263
CCCCCOc1ccc(-c2cc(-c3ccc(C(=O)NC4CC(O)C(O)NC(=O)C5C(O)C(C)CN5C(=O)C(C(O)CC(N)=O)NC(=O)C(C(O)C(O)c5ccc(O)c(OS(=O)(=O)O)c5)NC(=O)C5CC(O)CN5C(=O)C(C(C)O)NC4=O)cc3)no2)cc1,0,0.7865168539325843,1.4269662921348314,2.067415730337079,32.25181936611605,9.959059443384275,2.5065402440539932,-2.342475581767532,2.3352852729812024,-2.6433498724305675,7.808345236240648,-0.14898036240672996
