SMILES,binaryLabel,AvgIpc,BalabanJ,BertzCT,HallKierAlpha,Ipc,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,Kappa1,Kappa2,Kappa3
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,0,3.033559459933484,1.3362548695620295,825.2439471833666,-2.3299999999999996,3746809.9601530447,19.50986092169139,16.817858357904015,16.817858357904015,13.67336639324559,10.22995982367692,10.22995982367692,8.070461212884847,8.070461212884847,6.285957345712203,6.285957345712203,4.712021514075524,4.712021514075524,19.00679023622427,8.356363444273022,3.925173476821331
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(O)=NO)cc23)c1,0,2.8270463162406556,1.6954391943590104,1124.6725748708002,-3.99,17042413.35232409,22.760937777247957,17.914007399063813,17.914007399063813,15.638891550634943,10.334292954630033,10.334292954630033,7.121537308125112,7.121537308125112,4.880431969769879,4.880431969769879,3.2302766688725018,3.2302766688725018,22.689780071088155,11.414796826287054,6.0144238161201375
Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,1,2.7697386600516576,2.7364643675188978,696.191196074724,-1.93,13114.712555344599,13.4472292782632,10.068692254679823,10.068692254679823,8.468432912787325,5.3678650501665395,5.3678650501665395,4.111303224856988,4.111303224856988,2.8353941391907056,2.8353941391907056,1.8201801941166664,1.8201801941166664,12.524930917834109,4.389543779405982,1.7490414448594218
COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,0,2.495132354099785,2.9716124865336346,731.9410191793835,-2.55,119684.01362910439,18.27565640300939,15.305162060755068,15.305162060755068,11.256126613022033,7.84950445543621,7.84950445543621,5.889126182522901,5.889126182522901,3.910730810094124,3.910730810094124,2.398551136148485,2.398551136148485,19.49662004662005,8.919939842211916,5.57871139047988
OCC1NCC(O)C(O)C1O,0,2.010568131696261,2.516424270605089,129.7506906689389,-0.2,299.5746516227429,8.430721420318147,6.012469021131431,6.012469021131431,5.163902460147013,3.5495495413741343,3.5495495413741343,2.7458481667832846,2.7458481667832846,1.9422624150250187,1.9422624150250187,1.1517810652250067,1.1517810652250067,8.892592592592592,3.464718772826881,1.686939791760978
OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,0,2.923513433042501,1.9379728019114324,879.5223205537839,-2.5400000000000005,167591553.56642714,25.329851878000298,21.094485207357344,21.094485207357344,17.693733105501334,13.228014765201797,13.228014765201797,9.355580958126524,9.355580958126524,6.839870083791567,6.839870083791567,5.004720278142204,5.004720278142204,26.520984332276463,13.132812022900296,6.049910617292099
O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12,0,3.2124281867108775,1.4336165816806667,1201.3332866852495,-3.5899999999999994,12534534.992588932,21.846724214874857,15.941161897381289,16.757658478309015,14.88796135007418,9.200792429612607,10.080445240867505,6.530482359139558,7.4465984369748455,4.425851255334702,5.339027651469145,3.051789100111757,3.81724224490651,20.673451885937673,8.646018987671987,5.125398762733456
I,1,0.0,0.0,0.0,0.73,0.0,0.0,0.4082482904638631,2.7386127875258306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.09986301369863015,2.209452054794521
OCCn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1,0,3.3520779143521473,1.498003033639786,1275.4117578418475,-3.7199999999999993,6390156.634233186,18.92407448406449,14.8423951257659,14.8423951257659,13.797157633333283,8.836074110890811,8.836074110890811,6.395693542617876,6.395693542617876,4.485235146279807,4.485235146279807,3.1179222811067397,3.1179222811067397,16.453406368723357,6.781628132323778,2.9704301719057744
C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(N)nc21,0,2.9072026161536444,2.1214831804234486,734.2582885949367,-2.1899999999999995,47631.60766306131,14.438793109825921,10.652387957471426,10.652387957471426,9.524075805453153,6.225231660339966,6.225231660339966,4.958051033937847,4.958051033937847,3.8166093221121127,3.8166093221121127,2.7409034670533208,2.7409034670533208,12.82420333144683,4.4263734949925535,1.726999051912061
O=NN(CCCl)C(=O)NCCCl,0,2.0981299749838223,3.76615173955013,155.62875863456514,-0.55,417.52786502178066,9.397341225498538,6.2952798426922865,7.807137734729195,5.756748817474191,3.2646087692519266,4.333653736901624,1.8146854278028268,2.570614373821281,1.0000270167057954,1.3580401041561123,0.5049386495383064,0.7595380878653102,11.45,7.118179477889437,4.353178980984177
