SMILES,binaryLabel,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,TPSA,HeavyAtomCount,Phi,MolLogP,MolMR
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,0,0.7474614915624849,20.214285714285715,379.50000000000017,350.26800000000014,379.214743788,148.0,0.0,0.16620209627378937,-0.49285879087511075,0.49285879087511075,0.16620209627378937,38.77,28.0,5.672415968676781,4.361100000000004,110.13050000000005
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(O)=NO)cc23)c1,0,0.09686051203012763,11.1875,434.4960000000003,408.28800000000024,434.19540531199993,166.0,0.0,0.2224632762429712,-0.49426334817361606,0.49426334817361606,0.2224632762429712,109.09000000000002,32.0,8.093725923269009,5.038300000000004,124.18000000000008
Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,1,0.6460832424087163,13.11111111111111,254.24599999999998,240.134,254.101504928,98.0,0.0,0.331703434895203,-0.39361425183466986,0.39361425183466986,0.331703434895203,102.28,18.0,3.0543740332149096,-2.213099999999999,63.30760000000002
COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,0,0.5794537711852106,13.083333333333334,326.4360000000001,300.228,326.18819469199997,128.0,0.0,0.3280688057099827,-0.4964677075827197,0.4964677075827197,0.3280688057099827,46.53,24.0,7.2461949142630715,5.167060000000005,100.52880000000005
OCC1NCC(O)C(O)C1O,0,0.28455326707727985,45.81818181818182,163.173,150.069,163.084457896,66.0,0.0,0.1085501698336714,-0.3946490549126711,0.3946490549126711,0.1085501698336714,92.95,11.0,2.8009393176960744,-2.9667999999999988,36.896899999999995
OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,0,0.3081454686289042,16.555555555555557,504.6360000000004,464.3160000000003,504.31725176000003,200.0,0.0,0.22780331080487576,-0.39453428442618266,0.39453428442618266,0.22780331080487576,145.44,36.0,9.674863941613076,-0.017599999999997396,140.02519999999993
O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12,0,0.3803116720815944,11.32258064516129,443.4500000000001,427.32200000000023,443.09153241200005,158.0,0.0,0.5725963173374214,-0.40579734740705586,0.5725963173374214,0.40579734740705586,63.25,31.0,5.765905082146464,6.059300000000004,114.4669
I,1,0.4191265240259666,0.0,127.91199999999999,126.904,127.912298032,8.0,0.0,-0.10746455724563216,-0.10746455724563216,0.10746455724563216,0.10746455724563216,0.0,1.0,0.17276301369863017,0.6180000000000001,15.415
OCCn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1,0,0.49990712286055866,11.464285714285714,372.39200000000005,356.2640000000002,372.144707132,138.0,0.0,0.22063805426916433,-0.3944506144227263,0.3944506144227263,0.22063805426916433,107.42999999999999,28.0,3.985031553667483,1.6735999999999995,102.26980000000002
C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(N)nc21,0,0.5301148369563783,26.5,277.284,262.164,277.11748934,106.0,0.0,0.2799847972923357,-0.3956489038981603,0.3956489038981603,0.2799847972923357,130.04999999999998,20.0,2.838235686035573,-0.8278000000000001,71.9377
O=NN(CCCl)C(=O)NCCCl,0,0.42360586004444145,9.166666666666666,214.052,204.98,213.007181888,70.0,0.0,0.3399886072735221,-0.3352164224800899,0.3399886072735221,0.3352164224800899,61.77,12.0,6.791929585152837,1.157,47.339700000000015
CN1c2c([nH]c(N)nc2=O)NCC1CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,0,0.2602219511944766,15.666666666666666,459.46300000000025,434.26300000000026,459.1866315199999,176.0,0.0,0.3257212005941315,-0.4812292557834712,0.4812292557834712,0.3257212005941315,202.76999999999995,33.0,7.004991834617275,-0.25769999999999715,120.64230000000005
O=C(O)CNC(=O)c1ccccc1,0,0.7096286993577655,9.23076923076923,179.175,170.10299999999998,179.058243148,68.0,0.0,0.32248054864037684,-0.4799303231970971,0.4799303231970971,0.32248054864037684,66.4,13.0,3.0250880329990903,0.5009999999999994,46.411000000000016
O=C(NCCS(=O)(=O)c1ccc(C(F)(F)F)cn1)c1ccc(Cl)cc1,0,0.8483807666580057,12.0,392.78600000000006,380.69000000000005,392.020925584,134.0,0.0,0.41739019296147783,-0.3510036162140354,0.41739019296147783,0.3510036162140354,76.13,25.0,5.685253206547149,2.9575000000000014,85.07700000000001
COc1cccc2c1c(=O)c(C(=O)N(C)c1ccc(C(F)(F)F)cc1)c(O)n2C,0,0.7222861295052183,11.517241379310345,406.36,389.22400000000005,406.11404168400003,152.0,0.0,0.41591206637770894,-0.49590450937845026,0.49590450937845026,0.41591206637770894,71.77000000000001,29.0,4.996757872188996,3.5481000000000016,101.58330000000004
CCOC(=O)C(CCc1ccccc1)NC1CSC(c2cccs2)CN(CC(=O)O)C1=O,0,0.5091213011621881,19.90625,476.6200000000003,448.39600000000024,476.1439639959999,172.0,0.0,0.32270077335264663,-0.47992497757415586,0.47992497757415586,0.32270077335264663,95.94,32.0,9.1330534143314,2.9719000000000007,125.84150000000008
CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,0,0.5818339767551266,27.571428571428573,408.87800000000004,383.6780000000001,408.1339662,152.0,0.0,0.11878970901804975,-0.4938897613729476,0.4938897613729476,0.11878970901804975,99.38000000000001,28.0,6.929996606431197,1.8443999999999996,104.58920000000002
COc1cc2ncc(-c3ccccc3)nc2cc1OC,1,0.7291625080611585,10.5,266.3,252.18799999999996,266.105527688,100.0,0.0,0.16252912957896146,-0.49278422194048643,0.49278422194048643,0.16252912957896146,44.24000000000001,20.0,3.2084827346547264,3.314000000000002,78.07800000000005
CCC(C)C(C(CC(=O)N1CCCC1C(OC)C(C)C(=O)NC(Cc1ccccc1)c1nccs1)OC)N(C)C(=O)C(NC(=O)C(C(C)C)N(C)C)C(C)C,1,0.17694210199014707,19.036363636363635,785.1089999999998,716.5649999999998,784.492104896,308.0,0.0,0.24500434724184939,-0.3787661462396901,0.3787661462396901,0.24500434724184939,133.41,55.0,18.22084631280028,5.190400000000006,218.34839999999912
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,0,0.9057842881790305,21.428571428571427,287.35900000000004,266.191,287.152143532,112.0,0.0,0.30620151899780573,-0.48114130189667925,0.48114130189667925,0.30620151899780573,62.32000000000001,21.0,3.4930247573164275,3.383000000000002,81.55450000000005
O=c1[nH]c(=O)c2c[nH]nc2[nH]1,0,0.44866812387763694,10.545454545454545,152.113,148.081,152.033425368,56.0,0.0,0.3268932653291023,-0.28984077420541277,0.3268932653291023,0.28984077420541277,94.4,11.0,0.973544860831364,-1.0605000000000004,37.3351
NCCCCCC(=O)O,0,0.5365844185944308,9.444444444444445,131.175,118.07099999999997,131.094628656,54.0,0.0,0.30283956335443907,-0.4812303897671254,0.4812303897671254,0.30283956335443907,63.32000000000001,9.0,5.212165500224315,0.5901000000000001,35.158199999999994
CCCCCOc1ccc(-c2cc(-c3ccc(C(=O)NC4CC(O)C(O)NC(=O)C5C(O)C(C)CN5C(=O)C(C(O)CC(N)=O)NC(=O)C(C(O)C(O)c5ccc(O)c(OS(=O)(=O)O)c5)NC(=O)C5CC(O)CN5C(=O)C(C(C)O)NC4=O)cc3)no2)cc1,0,0.033439666170639704,26.44943820224719,1270.2910000000004,1198.7229999999997,1269.438350532,484.0,0.0,0.446106809223278,-0.5042118879461746,0.5042118879461746,0.446106809223278,510.14,89.0,22.418419567776915,-3.9019999999999966,303.76020000000005
O=C(O)CNC(=O)c1nc(Cl)c2ccccc2c1O,0,0.738268330126833,10.368421052631579,280.66700000000003,271.59499999999997,280.02508444800003,98.0,0.0,0.32248158496391177,-0.5048347572133585,0.5048347572133585,0.32248158496391177,99.52000000000001,19.0,3.5242759589518724,1.4082,68.38680000000001
COc1cc2ncnc(Nc3ccc(O)cc3)c2cc1OC,0,0.720621229402163,10.454545454545455,297.3140000000001,282.19399999999996,297.11134134,112.0,0.0,0.16241567020986136,-0.5079643158299423,0.5079643158299423,0.16241567020986136,76.50000000000001,22.0,3.6546327064289046,3.0962000000000014,84.03150000000004
COC(=O)C1=C(C)N=C(C)C(C(=O)OC2CCCN(Cc3ccccc3)C2)C1c1cccc([N+](=O)[O-])c1,0,0.31098688239875466,22.243243243243242,505.5710000000002,474.3230000000004,505.221285712,194.0,0.0,0.3357411779273309,-0.4655873873691467,0.4655873873691467,0.3357411779273309,111.34,37.0,8.128597393914868,4.423900000000004,137.9853999999999
CCc1ccc(OCc2ccccc2C(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1,1,0.4379463101604092,10.774193548387096,411.50500000000017,386.3050000000002,411.1946770400001,156.0,0.0,0.25556972020202723,-0.4888905550572211,0.4888905550572211,0.25556972020202723,77.24,31.0,5.845863473094405,5.5191200000000045,125.43960000000003
CC(=O)OC1=C2C(C)[C@@H](OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C[C@@](O)([C@@H](OC(=O)c3ccccc3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)C2(C)C,0,0.16776846091652933,31.85483870967742,853.918,802.51,853.330955312,328.0,0.0,0.3380142328056634,-0.45964316727980237,0.45964316727980237,0.3380142328056634,221.28999999999996,62.0,11.804116429774341,3.940800000000003,217.39209999999937
COc1cccc(-c2ccc(C(Oc3cc(-c4ccc(CC(N)C(=O)O)cc4)nc(N)n3)C(F)(F)F)cc2)c1,0,0.27000474931337515,12.948717948717949,538.5260000000002,513.3260000000001,538.18278994,202.0,0.0,0.42929395739234005,-0.4967454765567676,0.4967454765567676,0.42929395739234005,133.57999999999998,39.0,8.00714700512947,5.0382000000000025,139.0496
CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,1,0.44792324774633824,11.06060606060606,467.9320000000002,444.7480000000002,467.15243087600004,170.0,0.0,0.2476891905287519,-0.49161715695475083,0.49161715695475083,0.2476891905287519,90.27999999999999,33.0,7.825297504813717,5.097580000000004,128.64340000000004
CCCCCCCCCCCCCCCCCC(=O)O,1,0.3360419785922725,10.85,284.4839999999999,248.19599999999994,284.271530392,120.0,0.0,0.3028395565321837,-0.481230389785217,0.481230389785217,0.3028395565321837,37.3,20.0,16.086252092582573,6.332500000000007,87.18180000000008
COc1cc(-c2ncn(C=CC(=O)OC(C)C)n2)cc(C(F)(F)F)c1,1,0.6075075195423052,11.96,355.31600000000003,339.188,355.114376032,134.0,0.0,0.41606838029072346,-0.4967270226226321,0.4967270226226321,0.41606838029072346,66.24000000000001,25.0,5.453118795952849,3.394800000000002,83.57000000000002
CC(C(=O)O)c1cccc(Oc2ccccc2)c1,0,0.8893527006971172,11.833333333333334,242.274,228.16199999999995,242.094294308,92.0,0.0,0.3101877231287264,-0.480788488863292,0.480788488863292,0.3101877231287264,46.53,18.0,3.6260136902704097,3.6670000000000016,69.00880000000004
Oc1cccc2cccnc12,0,0.614103356782718,10.181818181818182,145.16099999999997,138.105,145.052763844,54.0,0.0,0.14129788011909655,-0.505666646136573,0.505666646136573,0.14129788011909655,33.120000000000005,11.0,1.2516360978386867,1.9403999999999995,43.407800000000016
CC(=O)Nc1ccc(C(=O)NC(C)(C)C)cc1,1,0.823563550096589,10.823529411764707,234.29899999999998,216.15499999999997,234.136827816,92.0,0.0,0.25117927919346666,-0.34744334448858516,0.34744334448858516,0.25117927919346666,58.2,17.0,3.8852046856178095,2.1733000000000002,67.96490000000003
